name;sex;evote;dob;zip;education;citizenship;marital_status;party
Morris, Emily;Female;0;19-12-1977;2400;Vocational bachelors educations;Denmark;Never married;Red
Freda, Michael;Male;1;01-12-1986;2200;Masters programmes;Denmark;Married/separated;Green
Goosby, Emil;Male;1;10-08-1997;2200;Vocational bachelors educations;Denmark;Never married;Green
Alcantar, Amanda;Female;0;18-01-1965;2200;Vocational Education and Training (VET);Denmark;Divorced;Green
Havick, Justin;Male;0;13-10-1958;2200;Vocational Education and Training (VET);Denmark;Divorced;Green
Liston, Kiet;Male;0;01-05-1991;2300;Vocational bachelors educations;Germany;Never married;Green
Maniak, Connor;Male;0;18-07-1967;2100;Vocational Education and Training (VET);Denmark;Never married;Green
Siewiyumptewa, Brenna;Female;0;11-04-1937;2200;Upper secondary education;Denmark;Widowed;Green
al-Arafat, Nazmiyya;Female;1;30-09-1982;2100;Bachelors programmes;Denmark;Never married;Red
Ronquillo-Tavison, Daniela;Female;0;25-11-1978;2100;Vocational Education and Training (VET);Denmark;Divorced;Green
Lee, Kadeem;Male;1;09-02-1949;2400;Vocational Education and Training (VET);Denmark;Married/separated;Green
St Pierre, Austin;Male;0;21-10-2002;2100;Primary education;Denmark;Never married;Green
el-Saab, Muhsin;Male;1;29-10-1989;2100;Masters programmes;Denmark;Never married;Red
Lujan-Orona, Deneen;Female;0;02-02-1965;2400;Vocational Education and Training (VET);Denmark;Never married;Green
Nelson, Elizabeth;Female;1;28-11-1995;2300;Bachelors programmes;Denmark;Married/separated;Red
al-Kalil, Marjaana;Female;0;22-02-1947;2300;Upper secondary education;Denmark;Married/separated;Red
Holman, Rebecca;Female;1;19-02-2005;2100;Primary education;Denmark;Never married;Green
Alexander, Faridah;Female;1;20-12-1985;2300;Vocational Education and Training (VET);Denmark;Never married;Green
Thoutt, Jessica;Female;1;04-08-1970;2400;Vocational bachelors educations;Denmark;Widowed;Red
al-Morad, Aseela;Female;1;12-02-1989;2200;Vocational Education and Training (VET);Iraq;Married/separated;Green
Grabb, William;Male;0;23-06-1970;2100;Vocational Education and Training (VET);Denmark;Married/separated;Green
el-Othman, Azeema;Female;0;09-04-1997;2100;Not stated;Denmark;Never married;Green
Reese, Celina;Female;0;30-06-1988;2100;PhD programmes;Denmark;Never married;Green
Martinez, Ciara;Female;0;28-09-1936;2400;Primary education;Denmark;Widowed;Green
Hardin, Cherish;Female;0;02-08-2000;2400;Upper secondary education;Denmark;Never married;Green
Baker, Joseph;Male;0;11-06-1976;2300;Vocational Education and Training (VET);Turkey;Married/separated;Green
Holiday, Amanual;Male;1;24-03-1954;2300;Primary education;Denmark;Married/separated;Red
Arellano, Erika;Female;0;06-10-1959;2300;Primary education;Denmark;Married/separated;Green
Velie, Justin;Male;0;08-03-1960;2300;Vocational Education and Training (VET);Denmark;Never married;Red
Aviado II, Jamie Lee;Female;1;04-06-1952;2300;Vocational Education and Training (VET);Denmark;Never married;Green
Vigil, Alexa;Female;1;23-05-1976;2200;Vocational Education and Training (VET);Denmark;Never married;Green
Mcdonald, Gabrielle;Female;0;01-10-1926;2400;Short cycle higher education;Denmark;Widowed;Red
Mitchell, William;Male;0;02-12-1996;2300;Vocational bachelors educations;Denmark;Married/separated;Green
Gavin, Sierra;Female;0;04-12-2002;2200;Vocational Education and Training (VET);Denmark;Never married;Green
Gill, Tevis;Female;0;02-09-1972;2400;Vocational Education and Training (VET);Denmark;Never married;Green
Puga, Alexis;Female;0;19-06-1935;2300;Vocational Education and Training (VET);Denmark;Married/separated;Green
Besse, Elias;Male;1;10-09-1942;2400;Vocational bachelors educations;Denmark;Married/separated;Green
Green, Jessica;Female;1;26-04-1951;2200;Vocational bachelors educations;Denmark;Never married;Red
el-Niazi, Mahboob;Male;0;16-10-1971;2400;Upper secondary education;Denmark;Married/separated;Red
Reed-Bridges, Melanie;Female;1;20-10-1981;2400;Vocational bachelors educations;Denmark;Married/separated;Red
Buchanan-Hall, Trevelle;Male;0;24-11-1927;2200;Vocational Education and Training (VET);Denmark;Widowed;Red
Brooks, Dakota;Female;0;15-09-2000;2100;Primary education;USA;Never married;Green
Potter, Andrew;Male;1;10-04-1998;2100;Upper secondary education;Denmark;Never married;Green
Frith, Kenneth;Male;0;19-12-1969;2200;Vocational Education and Training (VET);Denmark;Married/separated;Green
Uvay, Danielle;Female;1;06-01-1986;2200;Masters programmes;Denmark;Married/separated;Red
Jones, Azahrae;Female;0;06-10-1998;2100;Upper secondary education;Denmark;Never married;Green
el-Mansour, Waheeba;Female;0;13-09-1957;2300;Primary education;Denmark;Married/separated;Red
Jarrell, Bailey;Female;0;14-06-1983;2400;Vocational bachelors educations;Denmark;Divorced;Red
